CGNDB_ID,CGNDB_ID_2,GEONAME,GEONAME_2,PROV_TERR,LOCATION,LATITUDE,LONGITUDE,GENERIC,CONCISE,REL_SCALE,FEATURE_ID
EHZOX,,Sainte-Perpétue (L'Islet),Sainte-Perpétue (L'Islet),QC,Sainte-Perpétue; L'Islet,47.058450298000025,-69.92879449899993,Municipality,VILG,50000,2d754963be4d11d892e2080020a0f4c9
EHZOY,,Sainte-Perpétue (Nicolet-Yamaska),Sainte-Perpétue (Nicolet-Yamaska),QC,Sainte-Perpétue; Nicolet-Yamaska,46.08280760000008,-72.46455529999997,Parish Municipality,VILG,250000,2d7c9c64be4d11d892e2080020a0f4c9
CBQOF,,Caledonia (Queens),Caledonia (Queens),NS,Queens,44.372859875000074,-65.02892739399994,Community,UNP,1000000,43490db8affc11d892e2080020a0f4c9
CBQOG,,Caledonia (Guysborough),Caledonia (Guysborough),NS,Guysborough,45.282000149000055,-62.39277510599999,Community,UNP,1000000,43894b09affc11d892e2080020a0f4c9
CBHBJ,,Salt Springs (Antigonish),Salt Springs (Antigonish),NS,Antigonish,45.590348418000076,-62.00188326499995,Community,UNP,250000,ea17f91aafe911d892e2080020a0f4c9
CBHBH,,Salt Springs (Pictou),Salt Springs (Pictou),NS,Pictou,45.53698912800007,-62.895714271999964,Community,UNP,250000,e9d37608afe911d892e2080020a0f4c9
EHZKU,,Sainte-Jeanne-d'Arc (La Mitis),Sainte-Jeanne-d'Arc (La Mitis),QC,Sainte-Jeanne-d'Arc; La Mitis,48.49448700000005,-67.95778750099998,Parish Municipality,VILG,50000,1e2aa4a7be4d11d892e2080020a0f4c9
EJJGI,,Sainte-Jeanne-d'Arc (Drummond),Sainte-Jeanne-d'Arc (Drummond),QC,Lefebvre; Drummond,45.71142290000006,-72.41205519999994,Village,UNP,250000,03cd0336bf9111d892e2080020a0f4c9
EHZKV,,Sainte-Jeanne-d'Arc (Maria-Chapdelaine),Sainte-Jeanne-d'Arc (Maria-Chapdelaine),QC,Sainte-Jeanne-d'Arc; Maria-Chapdelaine,48.86567297600004,-72.08558719399997,Village Municipality,TOWN,1000000,1e318278be4d11d892e2080020a0f4c9
EIAJZ,,Saint-Louis-de-Gonzague (Les Etchemins),Saint-Louis-de-Gonzague (Les Etchemins),QC,Saint-Louis-de-Gonzague; Les Etchemins,46.26773045300007,-70.32991360599993,Municipality,VILG,50000,9395163cbe4d11d892e2080020a0f4c9
EIAKA,,Saint-Louis-de-Gonzague (Beauharnois-Salaberry),Saint-Louis-de-Gonzague (Beauharnois-Salaberry),QC,Saint-Louis-de-Gonzague; Beauharnois-Salaberry,45.21665476600003,-73.99428995899996,Parish Municipality,VILG,1000000,957a29edbe4d11d892e2080020a0f4c9
DAIJQ,,South Branch (Kent),South Branch (Kent),NB,Kent,46.53629293200004,-64.90974206599998,Dispersed Rural Community,UNP,250000,aef70710d05211d892e2080020a0f4c9
DAIJP,,South Branch (Kings),South Branch (Kings),NB,Kings,45.74817004600004,-65.28969552199999,Dispersed Rural Community,UNP,250000,0c7bc156849c20c3b257330b8635ff60
IAQDC,,Keg River (1-101-23-W5),Keg River (1-101-23-W5),AB,1-101-23-W5,57.745954769000036,-117.61039916299995,Locality,UNP,250000,c1d4975ac6cd11d892e2080020a0f4c9
IAQDD,,Keg River (21-101-24-W5),Keg River (21-101-24-W5),AB,21-101-24-W5,57.790668364000055,-117.85531398699999,Hamlet,UNP,250000,0c89c8eb849c20c3d78eb8dec616adea
EHZAK,,Saint-Cyprien (Les Etchemins),Saint-Cyprien (Les Etchemins),QC,Saint-Cyprien; Les Etchemins,46.353364500000055,-70.26367539999995,Parish Municipality,VILG,50000,f618290dbe4c11d892e2080020a0f4c9
EHZAJ,,Saint-Cyprien (Rivière-du-Loup),Saint-Cyprien (Rivière-du-Loup),QC,Saint-Cyprien; Rivière-du-Loup,47.89363252700008,-69.01721675799996,Municipality,VILG,1000000,f60febacbe4c11d892e2080020a0f4c9
EHFSY,,Mercier (Roussillon),Mercier (Roussillon),QC,Mercier; Roussillon,45.31044276000006,-73.74193310799996,Town,CITY,250000,728cfd50be3b11d892e2080020a0f4c9
EKARS,,Mercier (Rouyn-Noranda),Mercier (Rouyn-Noranda),QC,Rouyn-Noranda; Rouyn-Noranda,48.234253600000045,-78.98619690099997,Named Locality,UNP,250000,0cd36aa0849c20c3d65e09bc9b83a27c
EQYKR,,Saint-Louis (Charlevoix),Saint-Louis (Charlevoix),QC,L'Isle-aux-Coudres; Charlevoix,47.37185913500008,-70.40769856699995,Village,UNP,50000,0d08fa1e849c20c3217d5c079ed50445
ESBHV,,Saint-Louis (Les Maskoutains),Saint-Louis (Les Maskoutains),QC,Saint-Louis; Les Maskoutains,45.85364540000006,-72.97845849999999,Municipality,VILG,50000,90fedaf0be4d11d892e2080020a0f4c9
EFMNI,,Bellefeuille (Le Haut-Saint-François),Bellefeuille (Le Haut-Saint-François),QC,Chartierville; Le Haut-Saint-François,45.31032150000004,-71.31257739999995,Hamlet,UNP,250000,b7fcb181bbe711d892e2080020a0f4c9
