CGNDB_ID,CGNDB_ID_2,GEONAME,GEONAME_2,PROV_TERR,LOCATION,LATITUDE,LONGITUDE,GENERIC,CONCISE,REL_SCALE,FEATURE_ID,coords,HR_UID
EHZOX,,Sainte-Perpétue (L'Islet),Sainte-Perpétue (L'Islet),QC,Sainte-Perpétue; L'Islet,47.05845029800002,-69.92879449899993,Municipality,VILG,50000,2d754963be4d11d892e2080020a0f4c9,"(-69.92879449899993, 47.05845029800002)",2412
EHZOY,,Sainte-Perpétue (Nicolet-Yamaska),Sainte-Perpétue (Nicolet-Yamaska),QC,Sainte-Perpétue; Nicolet-Yamaska,46.08280760000007,-72.46455529999997,Parish Municipality,VILG,250000,2d7c9c64be4d11d892e2080020a0f4c9,"(-72.46455529999997, 46.08280760000007)",2404
CBQOF,,Caledonia (Queens),Caledonia (Queens),NS,Queens,44.372859875000074,-65.02892739399994,Community,UNP,1000000,43490db8affc11d892e2080020a0f4c9,"(-65.02892739399994, 44.372859875000074)",1201
CBQOG,,Caledonia (Guysborough),Caledonia (Guysborough),NS,Guysborough,45.28200014900006,-62.392775105999995,Community,UNP,1000000,43894b09affc11d892e2080020a0f4c9,"(-62.392775105999995, 45.28200014900006)",1203
CBHBJ,,Salt Springs (Antigonish),Salt Springs (Antigonish),NS,Antigonish,45.590348418000076,-62.001883264999954,Community,UNP,250000,ea17f91aafe911d892e2080020a0f4c9,"(-62.001883264999954, 45.590348418000076)",1203
CBHBH,,Salt Springs (Pictou),Salt Springs (Pictou),NS,Pictou,45.536989128000066,-62.89571427199997,Community,UNP,250000,e9d37608afe911d892e2080020a0f4c9,"(-62.89571427199997, 45.536989128000066)",1202
EHZKU,,Sainte-Jeanne-d'Arc (La Mitis),Sainte-Jeanne-d'Arc (La Mitis),QC,Sainte-Jeanne-d'Arc; La Mitis,48.49448700000005,-67.95778750099997,Parish Municipality,VILG,50000,1e2aa4a7be4d11d892e2080020a0f4c9,"(-67.95778750099997, 48.49448700000005)",2401
EJJGI,,Sainte-Jeanne-d'Arc (Drummond),Sainte-Jeanne-d'Arc (Drummond),QC,Lefebvre; Drummond,45.711422900000066,-72.41205519999993,Village,UNP,250000,03cd0336bf9111d892e2080020a0f4c9,"(-72.41205519999993, 45.711422900000066)",2404
EHZKV,,Sainte-Jeanne-d'Arc (Maria-Chapdelaine),Sainte-Jeanne-d'Arc (Maria-Chapdelaine),QC,Sainte-Jeanne-d'Arc; Maria-Chapdelaine,48.86567297600004,-72.08558719399997,Village Municipality,TOWN,1000000,1e318278be4d11d892e2080020a0f4c9,"(-72.08558719399997, 48.86567297600004)",2402
EIAJZ,,Saint-Louis-de-Gonzague (Les Etchemins),Saint-Louis-de-Gonzague (Les Etchemins),QC,Saint-Louis-de-Gonzague; Les Etchemins,46.26773045300007,-70.32991360599993,Municipality,VILG,50000,9395163cbe4d11d892e2080020a0f4c9,"(-70.32991360599993, 46.26773045300007)",2412
